KEY;German;Englisch;French;Spain
inv_0;Es wurde eine neue Insel mitten im Ozean entdeckt. Ein Paradies für viele Tiere und Pflanzen. Niemand hatte bis jetzt die Chance sie zu bereisen. (Klicke für weiter!);n/a;n/a;n/a
inv_1;Das ist deine Gelegenheit! Dazu hast du dich mit den berühmtesten Unternehmer:innen deines Landes verabredet. Schließlich kostet eine solche Reise sehr viel Geld...;n/a;n/a;n/a
inv_2;Jetzt musst du nur noch eine der Personen überzeugen und dein Abenteuer kann losgehen!;n/a;n/a;n/a
inv_3;Deine Schritte hallen in den riesigen Räumen der Galerie wider, als du zügig zu deinem Termin eilst.;n/a;n/a;n/a
inv_4;Du bleibst vor der Tür stehen, welche dich von den Unternehmer:innen trennt.;n/a;n/a;n/a
inv_q1;Du siehst dich noch einmal im großen Wandspiegel des Flurs an… (Wähle eine Option!) ;n/a;n/a;n/a
inv_q1_o1;Schlichte, aber ordentliche Kleidung;n/a;n/a;n/a
inv_q1_o2;Markenklamotten und schicke Frisur;n/a;n/a;n/a
inv_q1_o3;Arbeitskleider aus dem Atelier;n/a;n/a;n/a
inv_q1_o4;Du bist im Matsch ausgerutscht;n/a;n/a;n/a
inv_q2;Du trittst ein, während die Blicke deiner möglichen Unterstützer:innen auf dir liegen. Du wirkst...;n/a;n/a;n/a
inv_q2_o1;...selbstsicher.;n/a;n/a;n/a
inv_q2_o2;...nervös.;n/a;n/a;n/a
inv_q2_r1;Du trittst mit erhobenem Kopf und festem Schritt in den Raum und blickst den Unternehmer:innen in die Augen. ;n/a;n/a;n/a
inv_q2_r2;Du trittst unsicher in den Raum und meidest den Blick der Unternehmer:innen.;n/a;n/a;n/a
inv_q3;Erzähl etwas über dich, Grünschnabel!;n/a;n/a;n/a
inv_q3_o1;Ich bin gut organisiert und bereit für jede Hürde!;n/a;n/a;n/a
inv_q3_o2;Ich höre immer auf mein Bauchgefühl!;n/a;n/a;n/a
inv_q3_o3;Ich stehe mit beiden Beinen fest im Leben! ;n/a;n/a;n/a
inv_q3_o4;Ich will stets etwas Neues auszuprobieren!;n/a;n/a;n/a
inv_q4;Was versprichst du dir von dieser Reise? ;n/a;n/a;n/a
inv_q4_o1;Groß rauskommen!;n/a;n/a;n/a
inv_q4_o2;Die Welt sehen! ;n/a;n/a;n/a
inv_q4_o3;Fremde Kulturen kennenlernen.;n/a;n/a;n/a
inv_q4_o4;Inspirationen finden.;n/a;n/a;n/a
inv_q5;Und wie bereitest du dich auf die Reise vor?;n/a;n/a;n/a
inv_q5_o1;Ich habe mir viele Survival-Videos angeschaut!;n/a;n/a;n/a
inv_q5_o2;Ich springe einfach ins kalte Wasser! ;n/a;n/a;n/a
inv_q5_o3;Ich habe mich monatelang auf diese Reise vorbereitet!;n/a;n/a;n/a
inv_q5_o4;Ich habe mich vorbereitet, aber es kann immer Probleme geben!;n/a;n/a;n/a
inv_q6;Worauf legst du am meisten Wert?;n/a;n/a;n/a
inv_q7;Jetzt mal etwas ganz anderes... [pause=0.5]Für welchen von uns würdest du dich denn entscheiden wollen?;n/a;n/a;n/a
inv_q7_r1;Schmeichelhaft... [pause=0.5]Natürlich würdest du das sagen... ;n/a;n/a;n/a
inv_q7_r2;[font=fnt_standard_bigitalic]HA! HA! HA![/font] Das hört man gerne, du Grünschnabel!;n/a;n/a;n/a
inv_q7_r3_q1;Warum denkst du, dass ich deine Bilder brauche?;n/a;n/a;n/a
inv_q7_r3_q1_o1;Weil es tolle Bilder sind, die etwas noch nie Dagewesenes zeigen!;n/a;n/a;n/a
inv_q7_r3_q1_o2;Weil ich mit meiner Kunst etwas bewirken will!;n/a;n/a;n/a
inv_q7_r3_q1_o3;Sie erzählen die Geschichte der Insel! Es ist ein tolles Abenteuer!;n/a;n/a;n/a
inv_q7_r3_q1_r1_1;Wie oft glaubst du habe ich das schon gehört? ;n/a;n/a;n/a
inv_q7_r3_q1_r1_2;Er sieht nicht besonders überzeugt aus.;n/a;n/a;n/a
inv_q7_r3_q1_r2_1;Wenn du etwas bewirken willst, brauchst du mehr als nur Bilder...;n/a;n/a;n/a
inv_q7_r3_q1_r2_2;Verschwende nicht meine Zeit...;n/a;n/a;n/a
inv_q7_r3_q1_r3_1;Abenteuer sagst du...[pause=0.5] Soso…;n/a;n/a;n/a
inv_q7_r3_q1_r3_2;Der Mann lehnt sich in seinem Rollstuhl zurück und scheint in Erinnerungen zu schwelgen. Auf seinem Gesicht erscheint ein Lächeln. ;n/a;n/a;n/a
inv_q7_r4_1;[font=fnt_standard_bigitalic]Ha!...[/font][pause=0.5] Na was sagst du dazu?;n/a;n/a;n/a
inv_q7_r4_2;Der Jungspund mag wohl Innovationen, Bruder!;n/a;n/a;n/a
inv_5;Die Unterstützer:inenn schauen dich abschätzend an.  ;n/a;n/a;n/a
inv_6;Nach einer kurzen Überlegung heben die interessierten Personen die Hand. Such dir deine Unterstützer:in aus! ;n/a;n/a;n/a
inv_rush_1;Ich freu mich darauf, dich kennenzulernen. Du klingst unglaublich vielversprechend!;n/a;n/a;n/a
inv_rush_2;Ich werde dich finanzieren, aber natürlich nur zu meinen Konditionen. Wie du sicher weißt, ist die Marke [color=#400080][font=fnt_standard_big]RusH[/font][/color] ein Modelabel für die besten Kleidungsstücke, denn wir alle sind Einzelstücke. ;n/a;n/a;n/a
inv_rush_3;Mir ist es egal wovon du Bilder machst... Aber ich möchte, dass du wie [color=#400080][font=fnt_standard_big]RusH[/font][/color] lebst!;n/a;n/a;n/a
inv_rush_4;Wie [color=#400080][font=fnt_standard_big]RusH[/font][/color] atmest!;n/a;n/a;n/a
inv_rush_5;Dass du... [pause=0.5] [color=#400080][font=fnt_standard_big]RusH[/font][/color] bist!;n/a;n/a;n/a
inv_rush_6;Deswegen hier ein Stück aus meiner neuen Kollektion!;n/a;n/a;n/a
inv_rush_7;Sie reicht dir ein Paket mit einer wetterfesten Jacke im modischen Schnitt. Sie wirkt unhandlich, jedoch ziemlich cool.;n/a;n/a;n/a
